# FQM_w,     FQM_I,     DCL_I,     ACL_I
-16.740000       -0.002215       0.009554       -0.001500
-16.730000       -0.002209       0.009134       -0.001496
-16.720000       -0.002203       0.007842       -0.001491
-16.710000       -0.002197       0.005794       -0.001486
-16.700000       -0.002192       0.003172       -0.001481
-16.690000       -0.002186       0.000213       -0.001477
-16.680000       -0.002180       -0.002821       -0.001472
-16.670000       -0.002174       -0.005658       -0.001467
-16.660000       -0.002169       -0.008044       -0.001463
-16.650000       -0.002163       -0.009766       -0.001458
-16.640000       -0.002157       -0.010669       -0.001454
-16.630000       -0.002151       -0.010671       -0.001449
-16.620000       -0.002146       -0.009773       -0.001444
-16.610000       -0.002140       -0.008054       -0.001440
-16.600000       -0.002134       -0.005667       -0.001435
-16.590000       -0.002129       -0.002825       -0.001431
-16.580000       -0.002123       0.000219       -0.001426
-16.570000       -0.002118       0.003193       -0.001422
-16.560000       -0.002112       0.005832       -0.001417
-16.550000       -0.002106       0.007899       -0.001413
-16.540000       -0.002101       0.009212       -0.001408
-16.530000       -0.002095       0.009651       -0.001404
-16.520000       -0.002090       0.009178       -0.001399
-16.510000       -0.002084       0.007836       -0.001395
-16.500000       -0.002079       0.005743       -0.001390
-16.490000       -0.002073       0.003087       -0.001386
-16.480000       -0.002068       0.000106       -0.001382
-16.470000       -0.002062       -0.002935       -0.001377
-16.460000       -0.002057       -0.005763       -0.001373
-16.450000       -0.002051       -0.008125       -0.001368
-16.440000       -0.002046       -0.009811       -0.001364
-16.430000       -0.002040       -0.010668       -0.001360
-16.420000       -0.002035       -0.010620       -0.001355
-16.410000       -0.002029       -0.009670       -0.001351
-16.400000       -0.002024       -0.007903       -0.001347
-16.390000       -0.002019       -0.005476       -0.001343
-16.380000       -0.002013       -0.002605       -0.001338
-16.370000       -0.002008       0.000453       -0.001334
-16.360000       -0.002003       0.003426       -0.001330
-16.350000       -0.001997       0.006048       -0.001326
-16.340000       -0.001992       0.008085       -0.001321
-16.330000       -0.001987       0.009356       -0.001317
-16.320000       -0.001981       0.009746       -0.001313
-16.310000       -0.001976       0.009220       -0.001309
-16.300000       -0.001971       0.007827       -0.001305
-16.290000       -0.001965       0.005689       -0.001301
-16.280000       -0.001960       0.002998       -0.001297
-16.270000       -0.001955       -0.000006       -0.001292
-16.260000       -0.001950       -0.003054       -0.001288
-16.250000       -0.001945       -0.005873       -0.001284
-16.240000       -0.001939       -0.008212       -0.001280
-16.230000       -0.001934       -0.009862       -0.001276
-16.220000       -0.001929       -0.010673       -0.001272
-16.210000       -0.001924       -0.010573       -0.001268
-16.200000       -0.001919       -0.009571       -0.001264
-16.190000       -0.001914       -0.007755       -0.001260
