# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-5.720000       -0.001395       0.000174 
-5.700000       0.010795       0.000180 
-5.680000       0.013276       0.000186 
-5.660000       0.003696       0.000190 
-5.640000       -0.009187       0.000194 
-5.620000       -0.013506       0.000198 
-5.600000       -0.005209       0.000205 
-5.580000       0.008143       0.000212 
-5.560000       0.014272       0.000218 
-5.540000       0.007477       0.000223 
-5.520000       -0.006061       0.000228 
-5.500000       -0.013893       0.000233 
-5.480000       -0.008746       0.000240 
-5.460000       0.004732       0.000248 
-5.440000       0.014171       0.000255 
-5.420000       0.010837       0.000262 
-5.400000       -0.002281       0.000267 
-5.380000       -0.013144       0.000273 
-5.360000       -0.011705       0.000281 
-5.340000       0.000808       0.000289 
-5.320000       0.012936       0.000298 
-5.300000       0.013492       0.000306 
-5.280000       0.001883       0.000313 
-5.260000       -0.011263       0.000320 
-5.240000       -0.013818       0.000328 
-5.220000       -0.003335       0.000338 
-5.200000       0.010619       0.000348 
-5.180000       0.015200       0.000357 
-5.160000       0.006117       0.000366 
-5.140000       -0.008345       0.000374 
-5.120000       -0.014872       0.000383 
-5.100000       -0.007367       0.000393 
-5.080000       0.007360       0.000405 
-5.060000       0.015784       0.000416 
-5.040000       0.010089       0.000427 
-5.020000       -0.004571       0.000436 
-5.000000       -0.014725       0.000446 
-4.980000       -0.010955       0.000458 
-4.960000       0.003383       0.000471 
-4.940000       0.015148       0.000484 
