# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-13.840000       0.007133       -0.000118 
-13.820000       0.004272       -0.000117 
-13.800000       -0.002643       -0.000116 
-13.780000       -0.007255       -0.000116 
-13.760000       -0.005308       -0.000115 
-13.740000       0.001429       -0.000114 
-13.720000       0.006770       -0.000113 
-13.700000       0.005790       -0.000112 
-13.680000       -0.000629       -0.000111 
-13.660000       -0.006594       -0.000110 
-13.640000       -0.006609       -0.000109 
-13.620000       -0.000637       -0.000108 
-13.600000       0.005844       -0.000107 
-13.580000       0.006867       -0.000106 
-13.560000       0.001471       -0.000105 
-13.540000       -0.005397       -0.000105 
-13.520000       -0.007415       -0.000104 
-13.500000       -0.002706       -0.000103 
-13.480000       0.004418       -0.000102 
-13.460000       0.007405       -0.000101 
-13.440000       0.003489       -0.000100 
-13.420000       -0.003748       -0.000099 
-13.400000       -0.007651       -0.000099 
-13.380000       -0.004613       -0.000098 
-13.360000       0.002596       -0.000097 
-13.340000       0.007351       -0.000096 
-13.320000       0.005264       -0.000095 
-13.300000       -0.001767       -0.000095 
-13.280000       -0.007285       -0.000094 
-13.260000       -0.006199       -0.000093 
-13.240000       0.000515       -0.000092 
-13.220000       0.006695       -0.000091 
-13.200000       0.006647       -0.000091 
-13.180000       0.000393       -0.000090 
-13.160000       -0.006331       -0.000089 
-13.140000       -0.007330       -0.000088 
-13.120000       -0.001663       -0.000088 
-13.100000       0.005478       -0.000087 
-13.080000       0.007520       -0.000086 
-13.060000       0.002563       -0.000085 
-13.040000       -0.004852       -0.000085 
-13.020000       -0.007905       -0.000084 
-13.000000       -0.003765       -0.000083 
-12.980000       0.003783       -0.000083 
-12.960000       0.007799       -0.000082 
-12.940000       0.004571       -0.000081 
-12.920000       -0.002955       -0.000080 
-12.900000       -0.007863       -0.000080 
-12.880000       -0.005620       -0.000079 
-12.860000       0.001736       -0.000078 
-12.840000       0.007450       -0.000078 
-12.820000       0.006252       -0.000077 
-12.800000       -0.000781       -0.000076 
-12.780000       -0.007193       -0.000076 
-12.760000       -0.007074       -0.000075 
-12.740000       -0.000507       -0.000074 
-12.720000       0.006485       -0.000074 
-12.700000       0.007463       -0.000073 
-12.680000       0.001502       -0.000072 
-12.660000       -0.005933       -0.000072 
-12.640000       -0.007999       -0.000071 
-12.620000       -0.002769       -0.000070 
-12.600000       0.004968       -0.000070 
-12.580000       0.008095       -0.000069 
-12.560000       0.003714       -0.000069 
-12.540000       -0.004170       -0.000068 
-12.520000       -0.008307       -0.000067 
-12.500000       -0.004870       -0.000067 
-12.480000       0.003007       -0.000066 
-12.460000       0.008085       -0.000066 
-12.440000       0.005675       -0.000065 
-12.420000       -0.002033       -0.000064 
-12.400000       -0.007960       -0.000064 
-12.380000       -0.006637       -0.000063 
-12.360000       0.000748       -0.000063 
-12.340000       0.007417       -0.000062 
-12.320000       0.007223       -0.000061 
-12.300000       0.000317       -0.000061 
-12.280000       -0.006967       -0.000060 
-12.260000       -0.007918       -0.000060 
-12.240000       -0.001633       -0.000059 
-12.220000       0.006129       -0.000059 
-12.200000       0.008223       -0.000058 
-12.180000       0.002696       -0.000057 
-12.160000       -0.005391       -0.000057 
