# time        DeltaCorr_Re_MC      DeltaCorr_Im_MC      DeltaCorr_Re_E17      DeltaCorr_Im_E17 
0.0000000000       -0.0000426355       -0.0000171450       0.0009259620       -0.0000171450
0.0000000000       -0.0000427906       -0.0000175016       0.0009258069       -0.0000175016
0.0000000000       -0.0000429792       -0.0000178436       0.0009256183       -0.0000178436
0.0000000000       -0.0000432003       -0.0000181694       0.0009253972       -0.0000181694
0.0000000000       -0.0000434530       -0.0000184775       0.0009251445       -0.0000184775
0.0000000000       -0.0000437362       -0.0000187664       0.0009248612       -0.0000187664
0.0000000000       -0.0000440490       -0.0000190347       0.0009245485       -0.0000190347
0.0000000000       -0.0000443900       -0.0000192810       0.0009242074       -0.0000192810
0.0000000000       -0.0000447582       -0.0000195040       0.0009238392       -0.0000195040
0.0000000000       -0.0000451523       -0.0000197025       0.0009234452       -0.0000197025
0.0000000000       -0.0000455708       -0.0000198753       0.0009230266       -0.0000198753
0.0000000000       -0.0000460126       -0.0000200212       0.0009225849       -0.0000200212
0.0000000000       -0.0000464761       -0.0000201393       0.0009221213       -0.0000201393
0.0000000000       -0.0000469599       -0.0000202285       0.0009216375       -0.0000202285
0.0000000000       -0.0000474626       -0.0000202878       0.0009211349       -0.0000202878
0.0000000000       -0.0000479825       -0.0000203165       0.0009206150       -0.0000203165
0.0000000000       -0.0000485181       -0.0000203137       0.0009200793       -0.0000203137
0.0000000000       -0.0000490679       -0.0000202788       0.0009195296       -0.0000202788
0.0000000000       -0.0000496301       -0.0000202112       0.0009189673       -0.0000202112
0.0000000000       -0.0000502032       -0.0000201102       0.0009183943       -0.0000201102
0.0000000000       -0.0000507854       -0.0000199754       0.0009178120       -0.0000199754
0.0000000000       -0.0000513752       -0.0000198063       0.0009172223       -0.0000198063
0.0000000000       -0.0000519707       -0.0000196028       0.0009166268       -0.0000196028
0.0000000000       -0.0000525702       -0.0000193645       0.0009160272       -0.0000193645
0.0000000000       -0.0000531721       -0.0000190912       0.0009154253       -0.0000190912
0.0000000000       -0.0000537747       -0.0000187829       0.0009148228       -0.0000187829
0.0000000000       -0.0000543761       -0.0000184395       0.0009142213       -0.0000184395
0.0000000000       -0.0000549748       -0.0000180612       0.0009136227       -0.0000180612
0.0000000000       -0.0000555689       -0.0000176481       0.0009130285       -0.0000176481
0.0000000000       -0.0000561568       -0.0000172004       0.0009124406       -0.0000172004
0.0000000000       -0.0000567369       -0.0000167184       0.0009118606       -0.0000167184
0.0000000000       -0.0000573073       -0.0000162025       0.0009112901       -0.0000162025
0.0000000000       -0.0000578666       -0.0000156531       0.0009107309       -0.0000156531
0.0000000000       -0.0000584130       -0.0000150708       0.0009101845       -0.0000150708
0.0000000000       -0.0000589450       -0.0000144562       0.0009096525       -0.0000144562
0.0000000000       -0.0000594610       -0.0000138099       0.0009091365       -0.0000138099
0.0000000000       -0.0000599595       -0.0000131327       0.0009086380       -0.0000131327
0.0000000000       -0.0000604390       -0.0000124254       0.0009081585       -0.0000124254
0.0000000000       -0.0000608980       -0.0000116888       0.0009076994       -0.0000116888
0.0000000000       -0.0000613352       -0.0000109240       0.0009072622       -0.0000109240
0.0000000000       -0.0000617492       -0.0000101319       0.0009068483       -0.0000101319
0.0000000000       -0.0000621386       -0.0000093135       0.0009064588       -0.0000093135
0.0000000000       -0.0000625022       -0.0000084701       0.0009060952       -0.0000084701
0.0000000000       -0.0000628388       -0.0000076027       0.0009057586       -0.0000076027
0.0000000000       -0.0000631473       -0.0000067125       0.0009054502       -0.0000067125
0.0000000000       -0.0000634265       -0.0000058010       0.0009051710       -0.0000058010
0.0000000000       -0.0000636753       -0.0000048693       0.0009049221       -0.0000048693
0.0000000000       -0.0000638929       -0.0000039189       0.0009047045       -0.0000039189
0.0000000000       -0.0000640783       -0.0000029512       0.0009045191       -0.0000029512
0.0000000000       -0.0000642307       -0.0000019676       0.0009043667       -0.0000019676
0.0000000000       -0.0000643493       -0.0000009697       0.0009042482       -0.0000009697
