# time   C_FQM_Re    C_FQM_Im    C_FQM_Re_erf    C_FQM_Im_erf 
36.000000       0.092222       0.227408       0.092222      0.227408 
36.100000       0.020900       0.244505       0.020900      0.244505 
36.200000       -0.052290       0.239762       -0.052290      0.239762 
36.300000       -0.120809       0.213602       -0.120809      0.213602 
36.400000       -0.178538       0.168361       -0.178537      0.168361 
36.500000       -0.220318       0.108081       -0.220318      0.108081 
36.600000       -0.242419       0.038146       -0.242419      0.038146 
36.700000       -0.242866       -0.035198       -0.242865      -0.035198 
36.800000       -0.221618       -0.105398       -0.221617      -0.105397 
36.900000       -0.180573       -0.166183       -0.180572      -0.166182 
37.000000       -0.123399       -0.212125       -0.123397      -0.212122 
37.100000       -0.055200       -0.239118       -0.055199      -0.239113 
37.200000       0.017929       -0.244752       0.017928      -0.244743 
37.300000       0.089458       -0.228523       0.089452      -0.228508 
37.400000       0.152996       -0.191881       0.152978      -0.191858 
37.500000       0.202868       -0.138098       0.202826      -0.138070 
37.600000       0.234619       -0.071979       0.234538      -0.071955 
37.700000       0.245412       0.000570       0.245272      0.000569 
37.800000       0.234284       0.073068       0.234065      0.073000 
37.900000       0.202227       0.139041       0.201926      0.138834 
38.000000       0.152107       0.192594       0.151751      0.192143 
38.100000       0.088398       0.228943       0.088080      0.228118 
38.200000       0.016793       0.244842       0.016702      0.243506 
38.300000       -0.056313       0.238870       -0.055856      0.236934 
38.400000       -0.124389       0.211561       -0.122918      0.209059 
38.500000       -0.181354       0.165353       -0.178280      0.162551 
38.600000       -0.222120       0.104375       -0.216821      0.101885 
38.700000       -0.243045       0.034072       -0.235025      0.032948 
38.800000       -0.242260       -0.039274       -0.231396      -0.037513 
38.900000       -0.219834       -0.109112       -0.206667      -0.102577 
39.000000       -0.177771       -0.169205       -0.163790      -0.155897 
39.100000       -0.119829       -0.214183       -0.107661      -0.192434 
39.200000       -0.051182       -0.240030       -0.044582      -0.209078 
39.300000       0.022038       -0.244435       0.018487      -0.205057 
39.400000       0.093289       -0.227006       0.074811      -0.182043 
39.500000       0.156208       -0.189299       0.118757      -0.143915 
39.600000       0.205173       -0.134683       0.146534      -0.096190 
39.700000       0.235811       -0.068035       0.156653      -0.045196 
39.800000       0.245386       0.004691       0.150017      0.002868 
39.900000       0.233041       0.076998       0.129625      0.042828 
40.000000       0.199879       0.142427       0.099939      0.071214 
40.100000       0.148862       0.195134       0.066060      0.086595 
40.200000       0.084548       0.230411       0.032859      0.089549 
40.300000       0.012681       0.245107       0.004257      0.082279 
40.400000       -0.060320       0.237908       -0.017240      0.067995 
40.500000       -0.127932       0.209457       -0.030672      0.050217 
40.600000       -0.184118       0.162296       -0.036469      0.032146 
40.700000       -0.223856       0.100637       -0.036063      0.016213 
40.800000       -0.243599       0.029989       -0.031412      0.003867 
40.900000       -0.241582       -0.043339       -0.024532      -0.004401 
41.000000       -0.217986       -0.112796       -0.017144      -0.008871 
41.100000       -0.174917       -0.172178       -0.010477      -0.010313 
41.200000       -0.116223       -0.216179       -0.005212      -0.009694 
41.300000       -0.047147       -0.240871       -0.001556      -0.007948 
41.400000       0.026141       -0.244047       0.000624      -0.005822 
41.500000       0.097094       -0.225422       0.001645      -0.003820 
41.600000       0.159374       -0.186662       0.001885      -0.002207 
41.700000       0.207419       -0.131227       0.001681      -0.001064 
41.800000       0.236936       -0.064070       0.001292      -0.000349 
41.900000       0.245288       0.008811       0.000884      0.000032 
42.000000       0.231729       0.080905       0.000542      0.000189 
42.100000       0.197471       0.145772       0.000294      0.000217 
42.200000       0.145573       0.197619       0.000136      0.000184 
42.300000       0.080672       0.231813       0.000046      0.000133 
42.400000       0.008564       0.245300       0.000003      0.000084 
42.500000       -0.064310       0.236875       -0.000013      0.000048 
42.600000       -0.131439       0.207292       -0.000016      0.000024 
42.700000       -0.186828       0.159191       -0.000013      0.000011 
42.800000       -0.225528       0.096870       -0.000008      0.000004 
42.900000       -0.244083       0.025896       -0.000005      0.000001 
43.000000       -0.240835       -0.047392       -0.000003      -0.000001 
43.100000       -0.216073       -0.116447       -0.000001      -0.000001 
43.200000       -0.172011       -0.175101       -0.000001      -0.000001 
43.300000       -0.112583       -0.218113       -0.000000      -0.000000 
43.400000       -0.043098       -0.241643       -0.000000      -0.000000 
43.500000       0.030237       -0.243587       0.000000      -0.000000 
43.600000       0.100871       -0.223773       0.000000      -0.000000 
43.700000       0.162495       -0.183969       0.000000      -0.000000 
43.800000       0.209605       -0.127732       0.000000      -0.000000 
43.900000       0.237991       -0.060085       0.000000      -0.000000 
44.000000       0.245119       0.012929       0.000000      0.000000 
44.100000       0.230351       0.084789       0.000000      0.000000 
44.200000       0.195006       0.149076       0.000000      0.000000 
44.300000       0.142242       0.200046       0.000000      0.000000 
44.400000       0.076772       0.233147       0.000000      0.000000 
44.500000       0.004443       0.245422       0.000000      0.000000 
44.600000       -0.068282       0.235775       -0.000000      0.000000 
44.700000       -0.134909       0.205066       -0.000000      0.000000 
44.800000       -0.189485       0.156039       -0.000000      0.000000 
44.900000       -0.227135       0.093074       -0.000000      0.000000 
45.000000       -0.244496       0.021794       -0.000000      0.000000 
45.100000       -0.240017       -0.051432       -0.000000      -0.000000 
45.200000       -0.214098       -0.120065       -0.000000      -0.000000 
45.300000       -0.169055       -0.177973       -0.000000      -0.000000 
45.400000       -0.108910       -0.219984       -0.000000      -0.000000 
45.500000       -0.039036       -0.242344       -0.000000      -0.000000 
45.600000       0.034325       -0.243057       0.000000      -0.000000 
45.700000       0.104620       -0.222058       0.000000      -0.000000 
45.800000       0.165570       -0.181224       0.000000      -0.000000 
45.900000       0.211731       -0.124201       0.000000      -0.000000 
46.000000       0.238978       -0.056083       0.000000      -0.000000 
46.100000       0.244879       0.017044       0.000000      0.000000 
46.200000       0.228905       0.088650       0.000000      0.000000 
46.300000       0.192484       0.152337       0.000000      0.000000 
46.400000       0.138869       0.202416       0.000000      0.000000 
46.500000       0.072849       0.234414       0.000000      0.000000 
46.600000       0.000322       0.245474       0.000000      0.000000 
46.700000       -0.072235       0.234606       -0.000000      0.000000 
46.800000       -0.138340       0.202781       -0.000000      0.000000 
46.900000       -0.192087       0.152842       -0.000000      0.000000 
47.000000       -0.228676       0.089251       -0.000000      0.000000 
47.100000       -0.244838       0.017686       -0.000000      0.000000 
47.200000       -0.239130       -0.055458       -0.000000      -0.000000 
47.300000       -0.212061       -0.123649       -0.000000      -0.000000 
47.400000       -0.166050       -0.180795       -0.000000      -0.000000 
47.500000       -0.105205       -0.221792       -0.000000      -0.000000 
47.600000       -0.034963       -0.242976       -0.000000      -0.000000 
47.700000       0.038403       -0.242457       0.000000      -0.000000 
47.800000       0.108339       -0.220280       0.000000      -0.000000 
47.900000       0.168597       -0.178425       0.000000      -0.000000 
48.000000       0.213795       -0.120633       0.000000      -0.000000 
48.100000       0.239896       -0.052064       0.000000      -0.000000 
48.200000       0.244568       0.021155       0.000000      0.000000 
48.300000       0.227394       0.092485       0.000000      0.000000 
48.400000       0.189907       0.155554       0.000000      0.000000 
48.500000       0.135456       0.204728       0.000000      0.000000 
48.600000       0.068905       0.235615       0.000000      0.000000 
48.700000       -0.003801       0.245455       -0.000000      0.000000 
48.800000       -0.076168       0.233369       -0.000000      0.000000 
48.900000       -0.141731       0.200437       -0.000000      0.000000 
49.000000       -0.194634       0.149601       -0.000000      0.000000 
49.100000       -0.230152       0.085402       -0.000000      0.000000 
49.200000       -0.245111       0.013573       -0.000000      0.000000 
49.300000       -0.238175       -0.059468       -0.000000      -0.000000 
