# time        DeltaCorr_Re_MC      DeltaCorr_Im_MC      DeltaCorr_Re_E17      DeltaCorr_Im_E17 
0.0000000000       0.0000040622       -0.0001300568       0.0010253937       -0.0001300568
0.0000000000       0.0000027104       -0.0001306236       0.0010240419       -0.0001306236
0.0000000000       0.0000013158       -0.0001311661       0.0010226473       -0.0001311661
0.0000000000       -0.0000001207       -0.0001316820       0.0010212108       -0.0001316820
0.0000000000       -0.0000015980       -0.0001321691       0.0010197335       -0.0001321691
0.0000000000       -0.0000031150       -0.0001326255       0.0010182165       -0.0001326255
0.0000000000       -0.0000046705       -0.0001330489       0.0010166610       -0.0001330489
0.0000000000       -0.0000062631       -0.0001334374       0.0010150684       -0.0001334374
0.0000000000       -0.0000078915       -0.0001337890       0.0010134400       -0.0001337890
0.0000000000       -0.0000095540       -0.0001341020       0.0010117775       -0.0001341020
0.0000000000       -0.0000112492       -0.0001343745       0.0010100823       -0.0001343745
0.0000000000       -0.0000129753       -0.0001346048       0.0010083562       -0.0001346048
0.0000000000       -0.0000147306       -0.0001347913       0.0010066009       -0.0001347913
0.0000000000       -0.0000165133       -0.0001349323       0.0010048182       -0.0001349323
0.0000000000       -0.0000183215       -0.0001350265       0.0010030100       -0.0001350265
0.0000000000       -0.0000201533       -0.0001350725       0.0010011782       -0.0001350725
0.0000000000       -0.0000220066       -0.0001350690       0.0009993250       -0.0001350690
0.0000000000       -0.0000238793       -0.0001350147       0.0009974522       -0.0001350147
0.0000000000       -0.0000257693       -0.0001349087       0.0009955622       -0.0001349087
0.0000000000       -0.0000276746       -0.0001347498       0.0009936570       -0.0001347498
0.0000000000       -0.0000295927       -0.0001345372       0.0009917388       -0.0001345372
0.0000000000       -0.0000315216       -0.0001342701       0.0009898099       -0.0001342701
0.0000000000       -0.0000334589       -0.0001339478       0.0009878726       -0.0001339478
0.0000000000       -0.0000354023       -0.0001335696       0.0009859293       -0.0001335696
0.0000000000       -0.0000373494       -0.0001331352       0.0009839821       -0.0001331352
0.0000000000       -0.0000392979       -0.0001326442       0.0009820336       -0.0001326442
0.0000000000       -0.0000412455       -0.0001320962       0.0009800860       -0.0001320962
0.0000000000       -0.0000431897       -0.0001314911       0.0009781418       -0.0001314911
0.0000000000       -0.0000451282       -0.0001308288       0.0009762033       -0.0001308288
0.0000000000       -0.0000470585       -0.0001301095       0.0009742730       -0.0001301095
0.0000000000       -0.0000489783       -0.0001293331       0.0009723532       -0.0001293331
0.0000000000       -0.0000508853       -0.0001285001       0.0009704462       -0.0001285001
0.0000000000       -0.0000527770       -0.0001276108       0.0009685545       -0.0001276108
0.0000000000       -0.0000546511       -0.0001266655       0.0009666804       -0.0001266655
0.0000000000       -0.0000565053       -0.0001256651       0.0009648262       -0.0001256651
0.0000000000       -0.0000583373       -0.0001246100       0.0009629942       -0.0001246100
0.0000000000       -0.0000601448       -0.0001235011       0.0009611867       -0.0001235011
0.0000000000       -0.0000619257       -0.0001223393       0.0009594058       -0.0001223393
0.0000000000       -0.0000636778       -0.0001211255       0.0009576537       -0.0001211255
0.0000000000       -0.0000653988       -0.0001198608       0.0009559327       -0.0001198608
0.0000000000       -0.0000670868       -0.0001185464       0.0009542447       -0.0001185464
0.0000000000       -0.0000687398       -0.0001171835       0.0009525917       -0.0001171835
0.0000000000       -0.0000703556       -0.0001157735       0.0009509759       -0.0001157735
0.0000000000       -0.0000719325       -0.0001143178       0.0009493990       -0.0001143178
0.0000000000       -0.0000734686       -0.0001128179       0.0009478629       -0.0001128179
0.0000000000       -0.0000749621       -0.0001112754       0.0009463694       -0.0001112754
0.0000000000       -0.0000764113       -0.0001096920       0.0009449202       -0.0001096920
0.0000000000       -0.0000778146       -0.0001080694       0.0009435169       -0.0001080694
0.0000000000       -0.0000791704       -0.0001064094       0.0009421611       -0.0001064094
0.0000000000       -0.0000804773       -0.0001047139       0.0009408542       -0.0001047139
0.0000000000       -0.0000817339       -0.0001029848       0.0009395976       -0.0001029848
0.0000000000       -0.0000829389       -0.0001012241       0.0009383926       -0.0001012241
0.0000000000       -0.0000840911       -0.0000994339       0.0009372404       -0.0000994339
0.0000000000       -0.0000851893       -0.0000976162       0.0009361422       -0.0000976162
0.0000000000       -0.0000862326       -0.0000957732       0.0009350989       -0.0000957732
0.0000000000       -0.0000872200       -0.0000939071       0.0009341115       -0.0000939071
0.0000000000       -0.0000881507       -0.0000920200       0.0009331808       -0.0000920200
0.0000000000       -0.0000890240       -0.0000901143       0.0009323076       -0.0000901143
0.0000000000       -0.0000898391       -0.0000881922       0.0009314924       -0.0000881922
0.0000000000       -0.0000905956       -0.0000862560       0.0009307359       -0.0000862560
0.0000000000       -0.0000912931       -0.0000843080       0.0009300384       -0.0000843080
0.0000000000       -0.0000919312       -0.0000823506       0.0009294003       -0.0000823506
0.0000000000       -0.0000925097       -0.0000803861       0.0009288218       -0.0000803861
0.0000000000       -0.0000930284       -0.0000784169       0.0009283031       -0.0000784169
0.0000000000       -0.0000934874       -0.0000764452       0.0009278441       -0.0000764452
0.0000000000       -0.0000938867       -0.0000744735       0.0009274448       -0.0000744735
0.0000000000       -0.0000942264       -0.0000725040       0.0009271051       -0.0000725040
0.0000000000       -0.0000945070       -0.0000705392       0.0009268246       -0.0000705392
0.0000000000       -0.0000947286       -0.0000685813       0.0009266029       -0.0000685813
0.0000000000       -0.0000948919       -0.0000666325       0.0009264397       -0.0000666325
0.0000000000       -0.0000949973       -0.0000646952       0.0009263342       -0.0000646952
0.0000000000       -0.0000950456       -0.0000627716       0.0009262859       -0.0000627716
0.0000000000       -0.0000950375       -0.0000608639       0.0009262940       -0.0000608639
0.0000000000       -0.0000949739       -0.0000589742       0.0009263576       -0.0000589742
0.0000000000       -0.0000948558       -0.0000571046       0.0009264758       -0.0000571046
0.0000000000       -0.0000946841       -0.0000552572       0.0009266475       -0.0000552572
0.0000000000       -0.0000944599       -0.0000534340       0.0009268716       -0.0000534340
0.0000000000       -0.0000941846       -0.0000516370       0.0009271469       -0.0000516370
0.0000000000       -0.0000938594       -0.0000498681       0.0009274721       -0.0000498681
0.0000000000       -0.0000934856       -0.0000481291       0.0009278459       -0.0000481291
0.0000000000       -0.0000930647       -0.0000464218       0.0009282668       -0.0000464218
0.0000000000       -0.0000925983       -0.0000447479       0.0009287333       -0.0000447479
0.0000000000       -0.0000920878       -0.0000431090       0.0009292437       -0.0000431090
0.0000000000       -0.0000915350       -0.0000415068       0.0009297965       -0.0000415068
0.0000000000       -0.0000909416       -0.0000399426       0.0009303900       -0.0000399426
0.0000000000       -0.0000903093       -0.0000384180       0.0009310223       -0.0000384180
0.0000000000       -0.0000896399       -0.0000369341       0.0009316916       -0.0000369341
0.0000000000       -0.0000889355       -0.0000354924       0.0009323960       -0.0000354924
0.0000000000       -0.0000881978       -0.0000340939       0.0009331337       -0.0000340939
0.0000000000       -0.0000874289       -0.0000327396       0.0009339026       -0.0000327396
0.0000000000       -0.0000866307       -0.0000314307       0.0009347008       -0.0000314307
0.0000000000       -0.0000858054       -0.0000301680       0.0009355261       -0.0000301680
0.0000000000       -0.0000849550       -0.0000289522       0.0009363766       -0.0000289522
0.0000000000       -0.0000840815       -0.0000277841       0.0009372500       -0.0000277841
0.0000000000       -0.0000831873       -0.0000266643       0.0009381442       -0.0000266643
0.0000000000       -0.0000822743       -0.0000255932       0.0009390572       -0.0000255932
0.0000000000       -0.0000813448       -0.0000245714       0.0009399868       -0.0000245714
0.0000000000       -0.0000804009       -0.0000235992       0.0009409307       -0.0000235992
0.0000000000       -0.0000794448       -0.0000226767       0.0009418867       -0.0000226767
0.0000000000       -0.0000784787       -0.0000218041       0.0009428528       -0.0000218041
0.0000000000       -0.0000775048       -0.0000209815       0.0009438267       -0.0000209815
0.0000000000       -0.0000765253       -0.0000202087       0.0009448062       -0.0000202087
0.0000000000       -0.0000755422       -0.0000194856       0.0009457893       -0.0000194856
0.0000000000       -0.0000745579       -0.0000188121       0.0009467736       -0.0000188121
0.0000000000       -0.0000735744       -0.0000181876       0.0009477572       -0.0000181876
0.0000000000       -0.0000725937       -0.0000176118       0.0009487378       -0.0000176118
0.0000000000       -0.0000716181       -0.0000170842       0.0009497135       -0.0000170842
0.0000000000       -0.0000706494       -0.0000166041       0.0009506821       -0.0000166041
0.0000000000       -0.0000696899       -0.0000161709       0.0009516416       -0.0000161709
0.0000000000       -0.0000687413       -0.0000157836       0.0009525902       -0.0000157836
0.0000000000       -0.0000678057       -0.0000154416       0.0009535258       -0.0000154416
0.0000000000       -0.0000668850       -0.0000151438       0.0009544465       -0.0000151438
0.0000000000       -0.0000659809       -0.0000148891       0.0009553506       -0.0000148891
0.0000000000       -0.0000650952       -0.0000146765       0.0009562363       -0.0000146765
0.0000000000       -0.0000642298       -0.0000145048       0.0009571017       -0.0000145048
0.0000000000       -0.0000633862       -0.0000143727       0.0009579454       -0.0000143727
0.0000000000       -0.0000625660       -0.0000142788       0.0009587655       -0.0000142788
0.0000000000       -0.0000617708       -0.0000142219       0.0009595607       -0.0000142219
0.0000000000       -0.0000610020       -0.0000142003       0.0009603295       -0.0000142003
0.0000000000       -0.0000602611       -0.0000142127       0.0009610704       -0.0000142127
0.0000000000       -0.0000595494       -0.0000142574       0.0009617821       -0.0000142574
0.0000000000       -0.0000588681       -0.0000143328       0.0009624634       -0.0000143328
0.0000000000       -0.0000582184       -0.0000144372       0.0009631132       -0.0000144372
0.0000000000       -0.0000576013       -0.0000145689       0.0009637302       -0.0000145689
0.0000000000       -0.0000570179       -0.0000147261       0.0009643136       -0.0000147261
0.0000000000       -0.0000564692       -0.0000149071       0.0009648624       -0.0000149071
0.0000000000       -0.0000559558       -0.0000151100       0.0009653757       -0.0000151100
0.0000000000       -0.0000554787       -0.0000153329       0.0009658528       -0.0000153329
0.0000000000       -0.0000550385       -0.0000155739       0.0009662930       -0.0000155739
0.0000000000       -0.0000546357       -0.0000158312       0.0009666958       -0.0000158312
0.0000000000       -0.0000542708       -0.0000161027       0.0009670607       -0.0000161027
0.0000000000       -0.0000539443       -0.0000163866       0.0009673872       -0.0000163866
0.0000000000       -0.0000536565       -0.0000166808       0.0009676751       -0.0000166808
0.0000000000       -0.0000534075       -0.0000169834       0.0009679241       -0.0000169834
0.0000000000       -0.0000531975       -0.0000172925       0.0009681341       -0.0000172925
0.0000000000       -0.0000530265       -0.0000176060       0.0009683050       -0.0000176060
0.0000000000       -0.0000528945       -0.0000179221       0.0009684370       -0.0000179221
0.0000000000       -0.0000528014       -0.0000182386       0.0009685301       -0.0000182386
0.0000000000       -0.0000527469       -0.0000185538       0.0009685846       -0.0000185538
0.0000000000       -0.0000527308       -0.0000188657       0.0009686007       -0.0000188657
0.0000000000       -0.0000527525       -0.0000191724       0.0009685790       -0.0000191724
0.0000000000       -0.0000528117       -0.0000194719       0.0009685198       -0.0000194719
0.0000000000       -0.0000529077       -0.0000197626       0.0009684238       -0.0000197626
0.0000000000       -0.0000530399       -0.0000200425       0.0009682916       -0.0000200425
0.0000000000       -0.0000532076       -0.0000203098       0.0009681239       -0.0000203098
0.0000000000       -0.0000534100       -0.0000205630       0.0009679215       -0.0000205630
0.0000000000       -0.0000536461       -0.0000208001       0.0009676854       -0.0000208001
0.0000000000       -0.0000539151       -0.0000210197       0.0009674164       -0.0000210197
0.0000000000       -0.0000542158       -0.0000212200       0.0009671157       -0.0000212200
0.0000000000       -0.0000545472       -0.0000213996       0.0009667843       -0.0000213996
0.0000000000       -0.0000549081       -0.0000215570       0.0009664234       -0.0000215570
0.0000000000       -0.0000552973       -0.0000216907       0.0009660343       -0.0000216907
0.0000000000       -0.0000557134       -0.0000217994       0.0009656181       -0.0000217994
0.0000000000       -0.0000561551       -0.0000218817       0.0009651764       -0.0000218817
0.0000000000       -0.0000566210       -0.0000219364       0.0009647105       -0.0000219364
0.0000000000       -0.0000571097       -0.0000219624       0.0009642218       -0.0000219624
0.0000000000       -0.0000576196       -0.0000219586       0.0009637119       -0.0000219586
0.0000000000       -0.0000581491       -0.0000219238       0.0009631824       -0.0000219238
0.0000000000       -0.0000586967       -0.0000218573       0.0009626348       -0.0000218573
0.0000000000       -0.0000592606       -0.0000217580       0.0009620709       -0.0000217580
0.0000000000       -0.0000598394       -0.0000216253       0.0009614922       -0.0000216253
0.0000000000       -0.0000604311       -0.0000214583       0.0009609004       -0.0000214583
