# time   C_FQM_Re    C_FQM_Im    C_DCL_Re    C_DCL_Im    C_ACL_Re   C_ACL_Im
17.700000      0.571319      0.000025      0.459784      -0.394103      0.605573      0.000027
17.800000      0.571329      0.000025      0.428969      -0.427454      0.605583      0.000026
17.900000      0.571339      0.000024      0.395741      -0.458403      0.605594      0.000026
18.000000      0.571348      0.000024      0.360286      -0.486775      0.605604      0.000025
18.100000      0.571358      0.000024      0.322805      -0.512411      0.605614      0.000025
18.200000      0.571367      0.000023      0.283507      -0.535167      0.605624      0.000025
18.300000      0.571377      0.000023      0.242614      -0.554915      0.605634      0.000024
18.400000      0.571386      0.000023      0.200356      -0.571543      0.605643      0.000024
18.500000      0.571395      0.000022      0.156970      -0.584958      0.605653      0.000023
18.600000      0.571403      0.000022      0.112699      -0.595085      0.605662      0.000023
18.700000      0.571412      0.000021      0.067794      -0.601865      0.605671      0.000023
18.800000      0.571421      0.000021      0.022506      -0.605262      0.605680      0.000022
18.900000      0.571429      0.000021      -0.022910      -0.605256      0.605689      0.000022
19.000000      0.571437      0.000020      -0.068198      -0.601847      0.605698      0.000022
19.100000      0.571445      0.000020      -0.113104      -0.595053      0.605707      0.000021
19.200000      0.571453      0.000020      -0.157375      -0.584914      0.605715      0.000021
19.300000      0.571461      0.000020      -0.200763      -0.571485      0.605724      0.000021
19.400000      0.571469      0.000019      -0.243023      -0.554843      0.605732      0.000020
19.500000      0.571477      0.000019      -0.283918      -0.535081      0.605740      0.000020
19.600000      0.571484      0.000019      -0.323218      -0.512309      0.605748      0.000020
19.700000      0.571492      0.000018      -0.360701      -0.486657      0.605756      0.000020
19.800000      0.571499      0.000018      -0.396157      -0.458267      0.605763      0.000019
19.900000      0.571506      0.000018      -0.429387      -0.427301      0.605771      0.000019
20.000000      0.571513      0.000018      -0.460203      -0.393930      0.605779      0.000019
20.100000      0.571520      0.000017      -0.488432      -0.358345      0.605786      0.000018
20.200000      0.571527      0.000017      -0.513916      -0.320743      0.605793      0.000018
20.300000      0.571534      0.000017      -0.536511      -0.281337      0.605801      0.000018
20.400000      0.571540      0.000017      -0.556089      -0.240348      0.605808      0.000018
20.500000      0.571547      0.000016      -0.572542      -0.198007      0.605815      0.000017
20.600000      0.571553      0.000016      -0.585776      -0.154552      0.605821      0.000017
20.700000      0.571560      0.000016      -0.595716      -0.110227      0.605828      0.000017
20.800000      0.571566      0.000016      -0.602308      -0.065281      0.605835      0.000017
20.900000      0.571572      0.000015      -0.605512      -0.019967      0.605842      0.000016
21.000000      0.571579      0.000015      -0.605313      0.025460      0.605848      0.000016
21.100000      0.571585      0.000015      -0.601710      0.070745      0.605854      0.000016
21.200000      0.571591      0.000015      -0.594724      0.115634      0.605861      0.000016
21.300000      0.571596      0.000015      -0.584393      0.159873      0.605867      0.000015
21.400000      0.571602      0.000014      -0.570777      0.203214      0.605873      0.000015
21.500000      0.571608      0.000014      -0.553951      0.245413      0.605879      0.000015
21.600000      0.571614      0.000014      -0.534011      0.286233      0.605885      0.000015
21.700000      0.571619      0.000014      -0.511067      0.325445      0.605891      0.000015
21.800000      0.571625      0.000014      -0.485249      0.362828      0.605897      0.000014
21.900000      0.571630      0.000013      -0.456703      0.398171      0.605903      0.000014
22.000000      0.571635      0.000013      -0.425588      0.431277      0.605908      0.000014
22.100000      0.571641      0.000013      -0.392080      0.461958      0.605914      0.000014
22.200000      0.571646      0.000013      -0.356367      0.490042      0.605919      0.000014
22.300000      0.571651      0.000013      -0.318649      0.515371      0.605925      0.000013
22.400000      0.571656      0.000013      -0.279139      0.537804      0.605930      0.000013
22.500000      0.571661      0.000012      -0.238059      0.557212      0.605935      0.000013
22.600000      0.571666      0.000012      -0.195640      0.573489      0.605941      0.000013
22.700000      0.571671      0.000012      -0.152120      0.586541      0.605946      0.000013
22.800000      0.571676      0.000012      -0.107744      0.596295      0.605951      0.000013
22.900000      0.571680      0.000012      -0.062761      0.602697      0.605956      0.000012
23.000000      0.571685      0.000012      -0.017425      0.605710      0.605961      0.000012
23.100000      0.571690      0.000011      0.028010      0.605318      0.605966      0.000012
23.200000      0.571694      0.000011      0.073288      0.601522      0.605971      0.000012
23.300000      0.571699      0.000011      0.118155      0.594345      0.605975      0.000012
23.400000      0.571703      0.000011      0.162358      0.583825      0.605980      0.000012
23.500000      0.571707      0.000011      0.205649      0.570023      0.605985      0.000012
