# FQM_w,     FQM_I,     DCL_I,     ACL_I
-15.360000       -0.001413       -0.012171       -0.000382
-15.350000       -0.001409       -0.009449       -0.000378
-15.340000       -0.001405       -0.005890       -0.000375
-15.330000       -0.001401       -0.001811       -0.000371
-15.320000       -0.001397       0.002423       -0.000368
-15.310000       -0.001393       0.006434       -0.000364
-15.300000       -0.001389       0.009864       -0.000361
-15.290000       -0.001385       0.012407       -0.000357
-15.280000       -0.001382       0.013834       -0.000354
-15.270000       -0.001378       0.014017       -0.000351
-15.260000       -0.001374       0.012939       -0.000347
-15.250000       -0.001370       0.010697       -0.000344
-15.240000       -0.001366       0.007489       -0.000340
-15.230000       -0.001362       0.003603       -0.000337
-15.220000       -0.001359       -0.000616       -0.000333
-15.210000       -0.001355       -0.004791       -0.000330
-15.200000       -0.001351       -0.008548       -0.000327
-15.190000       -0.001347       -0.011551       -0.000323
-15.180000       -0.001344       -0.013531       -0.000320
-15.170000       -0.001340       -0.014312       -0.000317
-15.160000       -0.001336       -0.013821       -0.000313
-15.150000       -0.001332       -0.012103       -0.000310
-15.140000       -0.001329       -0.009310       -0.000306
-15.130000       -0.001325       -0.005691       -0.000303
-15.120000       -0.001321       -0.001569       -0.000300
-15.110000       -0.001318       0.002689       -0.000296
-15.100000       -0.001314       0.006702       -0.000293
-15.090000       -0.001310       0.010111       -0.000290
-15.080000       -0.001307       0.012612       -0.000287
-15.070000       -0.001303       0.013980       -0.000283
-15.060000       -0.001299       0.014093       -0.000280
-15.050000       -0.001296       0.012940       -0.000277
-15.040000       -0.001292       0.010623       -0.000273
-15.030000       -0.001288       0.007348       -0.000270
-15.020000       -0.001285       0.003408       -0.000267
-15.010000       -0.001281       -0.000846       -0.000264
-15.000000       -0.001278       -0.005033       -0.000260
-14.990000       -0.001274       -0.008780       -0.000257
-14.980000       -0.001271       -0.011752       -0.000254
-14.970000       -0.001267       -0.013681       -0.000251
-14.960000       -0.001263       -0.014396       -0.000248
-14.950000       -0.001260       -0.013832       -0.000244
-14.940000       -0.001256       -0.012037       -0.000241
-14.930000       -0.001253       -0.009172       -0.000238
-14.920000       -0.001249       -0.005491       -0.000235
-14.910000       -0.001246       -0.001324       -0.000232
-14.900000       -0.001242       0.002958       -0.000229
-14.890000       -0.001239       0.006973       -0.000226
-14.880000       -0.001235       0.010361       -0.000222
-14.870000       -0.001232       0.012820       -0.000219
-14.860000       -0.001228       0.014129       -0.000216
-14.850000       -0.001225       0.014171       -0.000213
-14.840000       -0.001222       0.012940       -0.000210
-14.830000       -0.001218       0.010547       -0.000207
-14.820000       -0.001215       0.007205       -0.000204
-14.810000       -0.001211       0.003210       -0.000201
-14.800000       -0.001208       -0.001079       -0.000198
-14.790000       -0.001205       -0.005280       -0.000195
-14.780000       -0.001201       -0.009017       -0.000192
-14.770000       -0.001198       -0.011957       -0.000189
-14.760000       -0.001194       -0.013835       -0.000186
-14.750000       -0.001191       -0.014484       -0.000183
-14.740000       -0.001188       -0.013844       -0.000180
-14.730000       -0.001184       -0.011971       -0.000177
-14.720000       -0.001181       -0.009033       -0.000174
-14.710000       -0.001178       -0.005290       -0.000171
-14.700000       -0.001174       -0.001077       -0.000168
-14.690000       -0.001171       0.003230       -0.000165
-14.680000       -0.001168       0.007247       -0.000162
-14.670000       -0.001165       0.010614       -0.000159
-14.660000       -0.001161       0.013031       -0.000156
-14.650000       -0.001158       0.014280       -0.000153
-14.640000       -0.001155       0.014249       -0.000150
-14.630000       -0.001151       0.012941       -0.000147
-14.620000       -0.001148       0.010471       -0.000145
-14.610000       -0.001145       0.007059       -0.000142
-14.600000       -0.001142       0.003009       -0.000139
